Shop name,Category,Sub category,Url,Screen shot url
samuraimart,Our shops,Variety,http://samuraimart.com/,http://samuraimart.com/en/
Sanrio Official shop,Characters,-,http://shop.sanrio.co.jp/,http://shop.sanrio.co.jp/
San-x Official shop,Characters,-,http://shop.san-x.co.jp/,http://shop.san-x.co.jp/
Urutoraman Official shop,Characters,-,http://www.m78-online.net/,http://www.m78-online.net/
Disney Official store in Japan,Characters,-,http://www.disneystore.co.jp/shop/top.aspx,http://www.disneystore.co.jp/shop/top.aspx
Steiff Official store in Japan,Characters,-,http://www.steiff.co.jp/,http://www.steiff.co.jp/
ZOZO TOWN,Fashion,Men & Women,http://zozo.jp/shop/zozoused/brandlist.html,http://zozo.jp/
SHIBUYA 109 Official shop,Fashion,Women,http://e-shop.shibuya109.jp/ladies/contents/top/,http://e-shop.shibuya109.jp/ladies/contents/top/
ISSEI MIYAKE Official shop,Fashion,Men & Women,http://store.elttobtep.com/,http://store.elttobtep.com/
A BATHING APE Official shop,Fashion,Men & Women,http://www.bape.com/webstore/,http://www.bape.com/webstore/
BEAMS Official shop,Fashion,Men & Women,http://shop.beams.co.jp/,http://shop.beams.co.jp/
ALGONQUINS Official shop,Fashion,Women,http://www.rakuten.co.jp/algonquins/,http://www.rakuten.co.jp/algonquins/
ATELIER BOZ Official shop,Fashion,Women,http://www.boz.ne.jp/,http://www.boz.ne.jp/
Dolly Official shop,Fashion,Women,http://doris.shop-pro.jp/,http://d0ris.com/
EXCENTRIQUE Official shop,Fashion,Women,http://excentrique.shop7.makeshop.jp/,http://excentrique.shop7.makeshop.jp/
Fairy wish Official shop,Fashion,Women,http://fairy-wish.shop-pro.jp/,http://fairy-wish.shop-pro.jp/
KINCS Official shop,Fashion,Women,http://kincs.ws/e-shop/app,http://kincs.ws/e-shop/app
h.NAOTO & gouk Official shop,Fashion,Men & Women,http://store.shopping.yahoo.co.jp/kincs/,http://store.shopping.yahoo.co.jp/kincs/
Heart E Official shop,Fashion,Women,http://www.hearte.co.jp/,http://www.hearte.co.jp/
JESUS DIAMANTE,Fashion,Women,http://www.parco-city.com/shop/02jes186/02jes186,http://www.parco-city.com/shop/02jes186/02jes186
SQUARE ENIX Official shop,Toys & Hobbies,Toys,http://store.jp.square-enix.com/,http://store.jp.square-enix.com/
SEGA Official shop,Toys & Hobbies,Toys,http://ebten.jp/sega/,http://ebten.jp/sega/
TAMIYA Official shop,Toys & Hobbies,Toys,http://tamiyashop.jp/shop/default.php,http://tamiyashop.jp/shop/default.php
TAKARA TOMY Official shop,Toys & Hobbies,Toys,http://takaratomymall.jp/shop/c/cTomica/,http://takaratomymall.jp/shop/c/cTomica/
BANDAI Official shop,Toys & Hobbies,Toys,http://p-bandai.jp/,http://p-bandai.jp/
Biccamera Official shop,Electronics,Variety,http://www.biccamera.com/,http://www.biccamera.com/
Yodobashi Official shop,Electronics,Variety,http://www.yodobashi.com/,http://www.yodobashi.com/
Yamada Denki Official shop,Electronics,Variety,http://www.yamada-denkiweb.com/,http://www.yamada-denkiweb.com/
SONY Official shop,Electronics,Maker,http://store.sony.jp/,http://store.sony.jp/
Fujitsu Official shop,Electronics,Maker,http://www.fujitsu-webmart.com/pc/index0,http://www.fujitsu-webmart.com/pc/index0
SHARP Official shop,Electronics,Maker,https://store.sharp.co.jp/,https://store.sharp.co.jp/
Nestle Official shop in Japan,Foods,-,https://shop.nestle.jp/front/category/KitkatCrunchAero/,https://shop.nestle.jp/front/category/KitkatCrunchAero/
MIZUNO Official shop,Sports,Men & Women,http://localhost/sample/shopIntroduction/sports.php,http://localhost/sample/shopIntroduction/sports.php
UNIQLO Official shop,Fashion,Men & Women,http://www.uniqlo.com/jp/,http://www.uniqlo.com/jp/
Asics Official shop,Sports,Men & Women,http://www.asics.co.jp/shop,http://www.asics.co.jp/shop
Subaru Official shop,Car & Motorcycle,Maker,https://www.subaruonline.jp/,https://www.subaruonline.jp/
Subaru STI Official shop,Car & Motorcycle,Maker,http://www.sti.jp/sticollection/index.html,http://www.sti.jp/sticollection/index.html
Nissan Official shop,Car & Motorcycle,Maker,http://shop.nissan.co.jp/,http://shop.nissan.co.jp/
Honda Official shop,Car & Motorcycle,Maker,http://www.honda.co.jp/wearandgoods/,http://www.honda.co.jp/wearandgoods/
Kawasaki Official shop,Car & Motorcycle,Maker,http://www.kawasaki-goods.com/csb/servlet/RecommendGoodsListView?shopcode=00000002,http://www.kawasaki-goods.com/csb/servlet/RecommendGoodsListView?shopcode=00000002
TOKYU HANDS Official shop,Novelty,Variety,https://hands.net/,https://hands.net/
MUJI offical shop,Novelty,Variety,http://www.muji.net/store/,http://www.muji.net/store/
Don Quijote offical shop,Novelty,Variety,http://www.donkimall.com/,http://www.donkimall.com/
Isetan offical shop,Department store,-,http://isetan.mistore.jp/onlinestore/index.html,http://isetan.mistore.jp/onlinestore/index.html
DMM,Books & DVD/Blu-ray & Music CD,-,http://www.dmm.com/mono/,http://www.dmm.com/mono/
7net,Books & DVD/Blu-ray & Music CD,-,http://edepart.7netshopping.jp/ss/app/common/index,http://edepart.7netshopping.jp/ss/app/common/index
Honto,Books & DVD/Blu-ray & Music CD,-,http://honto.jp/netstore.html,http://honto.jp/netstore.html
Neowing,Books & DVD/Blu-ray & Music CD,-,http://www.neowing.co.jp/,http://www.neowing.co.jp/
Rakuten Books,Books & DVD/Blu-ray & Music CD,-,http://books.rakuten.co.jp/,http://books.rakuten.co.jp/
Tsutaya,Books & DVD/Blu-ray & Music CD,-,http://shop.tsutaya.co.jp/,http://shop.tsutaya.co.jp/
EVANGELION STORE Official shop,Anime & Manga,Character,http://www.evastore.jp/pc/,http://www.evastore.jp/pc/
Tezuka osamu world Official shop,Anime & Manga,Character,http://www.tezuka-shop.jp/,http://www.tezuka-shop.jp/
Shueisha Official shop,Anime & Manga,Publisher,https://mekke.shueisha.co.jp/CGI/mekke/shop/list.cgi?key=new,https://mekke.shueisha.co.jp/CGI/mekke/shop/list.cgi?key=new
KADOKAWA Official shop,Anime & Manga,Publisher,http://www.kadokawashop.com/,http://www.kadokawashop.com/
Toranoana Official shop,Dojinshi (Dojins),-,http://www.toranoana.jp/mailorder/,http://www.toranoana.jp/mailorder/
Lashinbang Official shop,Dojinshi (Dojins),-,http://www.lashinbang.com/shop/index.php?RATED=18,http://www.lashinbang.com/shop/index.php?RATED=18
Akibaoo Official shop,Dojinshi (Dojins),-,http://www.akibaoo.com/02/main/,http://www.akibaoo.com/02/main/
Animate Official shop,Dojinshi (Dojins),-,http://www.animate-onlineshop.jp/,http://www.animate-onlineshop.jp/
Grep Official shop,Dojinshi (Dojins),-,http://www.grep-shop.com/tsuhan/,http://www.grep-shop.com/tsuhan/
Gamers Official shop,Dojinshi (Dojins),-,http://www.gamers-onlineshop.jp/,http://www.gamers-onlineshop.jp/
ZIN Official shop,Dojinshi (Dojins),-,http://shop.comiczin.jp/,http://shop.comiczin.jp/
D-STAGE Official shop,Dojinshi (Dojins),-,http://d-stage.com/,http://d-stage.com/
Whitecanvas,Dojinshi (Dojins),-,http://store.shopping.yahoo.co.jp/wcan/,http://store.shopping.yahoo.co.jp/wcan/
MAGMAG Official shop,Dojinshi (Dojins),-,http://www.magmag.org/,http://www.magmag.org/
Melonbooks Official shop,Dojinshi (Dojins),-,http://www.melonbooks.co.jp/,http://www.melonbooks.co.jp/
Daikokuya,Hock shop,-,http://www.rakuten.ne.jp/gold/auc-daikokuyah/,http://www.rakuten.ne.jp/gold/auc-daikokuyah/
Yahuoku (Yahoo auction),Auction,-,http://auctions.yahoo.co.jp/,http://auctions.yahoo.co.jp/
AKB48 Official shop,Other,-,http://www.7netshopping.jp/spc/shop/akb48/,http://www.7netshopping.jp/spc/shop/akb48/
HMV Official shop in Japan,Books & DVD/Blu-ray & Music CD,-,http://www.hmv.co.jp/,http://www.hmv.co.jp/
TOYOTA MUSEUM Official shop,Car & Motorcycle,Maker,http://www.toyota-ep.co.jp/tam_shop/,http://www.toyota-ep.co.jp/tam_shop/
Super GT Official shop,Car & Motorcycle,Racing,http://shop.mu-mo.net/a/list1/?jsiteid=SGOS,http://shop.mu-mo.net/a/list1/?jsiteid=SGOS
Nikon,Electronics,Maker,http://shop.nikon-image.com/,http://shop.nikon-image.com/
Canon,Electronics,Maker,http://store.canon.jp/user/UserMain/jsp/top/top,http://store.canon.jp/user/UserMain/jsp/top/top
SIGMA,Electronics,Maker,http://www.sigma-onlineshop.jp/,http://www.sigma-onlineshop.jp/
IWAKO,Toys & Hobbies,Hobbies,http://www.iwako.com/index.html,http://www.iwako.com/index.html
KATO,Toys & Hobbies,Rail transport modelling,http://www.e-katomodels2.com/shop/c/c10/,http://www.e-katomodels2.com/shop/c/c10/
Super GT DVD Official shop,Car & Motorcycle,Racing,http://www.supergtdvd.com/,http://www.supergtdvd.com/
NHK Official shop (Domo kun),Characters,-,http://www.nhk-ep.com/shop/main/actionNameTxt/ctgry/cmdtyFlagTxt/sr/ctc/cha16,http://www.nhk-ep.com/shop/main/actionNameTxt/ctgry/cmdtyFlagTxt/sr/ctc/cha16
TOEI ANIMATION Official shop,Anime & Manga,Production ,http://shopping.toei-anim.co.jp/,http://shopping.toei-anim.co.jp/
KYOSHO Official shop,Toys & Hobbies,Toys,http://kyoshoshop-online.com/kyosho/top_rc.html,http://kyoshoshop-online.com/kyosho/top_rc.html
EBBRO Official shop,Toys & Hobbies,Toys,http://www.ebbro.jp/,http://www.ebbro.jp/
Hasegawa Mokei Official shop,Toys & Hobbies,Toys,http://www.hasegawa-model.co.jp/shop/WEBTUHAN/TUHANTOP.html,http://www.hasegawa-model.co.jp/shop/WEBTUHAN/TUHANTOP.html
Shiseido,Beuty & Helth,Beuty ,http://www.shiseido.co.jp/sw/products/SWFG070010.seam?online_shohin_ctlg_kbn=1,http://www.shiseido.co.jp/sw/products/SWFG070010.seam?online_shohin_ctlg_kbn=1
DHC,Beuty & Helth,Helth,http://www.dhc.co.jp/main/main.jsp,http://www.dhc.co.jp/main/main.jsp
Suzuka Circuit Official shop,Car & Motorcycle,Racing,https://mls.mobilityland.co.jp/onlineshop/Default.aspx,https://mls.mobilityland.co.jp/onlineshop/Default.aspx
Mitsukoshi Official shop,Department store,-,http://mitsukoshi.mistore.jp/onlinestore/index.html,http://mitsukoshi.mistore.jp/onlinestore/index.html
4â„ƒ Official shop,Fashion,Jewelry,http://jewelry-boutique.jp/,http://jewelry-boutique.jp/
Dr. Ci:Labo Official shop,Beuty & Helth,Beuty ,http://www.ci-labo.com/,http://www.ci-labo.com/
Fancl Official shop,Beuty & Helth,Helth,http://www.fancl.co.jp,http://www.fancl.co.jp
Joshin Official shop,Electronics,Variety,http://joshinweb.jp/top.html,http://joshinweb.jp/top.html
NEC Official shop,Electronics,Maker,http://www.necdirect.jp/shop/index.html,http://www.necdirect.jp/shop/index.html
ODAKYU Official shop,Department store,-,http://shop.odakyu-dept.co.jp/shop/default.aspx,http://shop.odakyu-dept.co.jp/shop/default.aspx
Keio Official shop,Department store,-,http://www.keionet.com/defaultMall/top/CSfTop.jsp,http://www.keionet.com/defaultMall/top/CSfTop.jsp
Tokyu Official shop,Department store,-,https://shop.tokyu-dept.co.jp/ec/cmTopPage.html,https://shop.tokyu-dept.co.jp/ec/cmTopPage.html
AUTOBACS Official shop,Car & Motorcycle,Variety,http://www.autobacs.com/shop/c/c,http://www.autobacs.com/shop/c/c
Fujimi Mokei Official shop,Toys & Hobbies,Toys,http://www.fujimimokei.com/,http://www.fujimimokei.com/
KONAMI Official shop,Toys & Hobbies,Toys,http://www.konamistyle.jp/,http://www.konamistyle.jp/
Finemolds Official shop,Toys & Hobbies,Toys,http://shopping.finemolds.net/,http://shopping.finemolds.net/
Doyusha Official shop,Toys & Hobbies,Toys,http://doyusha.shop-pro.jp/,http://doyusha.shop-pro.jp/
House Foods Official shop,Foods,-,https://www.house-direct.jp/,https://www.house-direct.jp/
Japan Post,Toys & Hobbies,Hobbies,https://kitte-shop.post.japanpost.jp/goods/index.asp,https://kitte-shop.post.japanpost.jp/goods/index.asp